timestamp,datetime,index_value,fetched_at,date,source_endpoint
1756361220,2025-08-28 11:52:00,2817.97,2025-08-30 12:59:55.626960,2025-08-30,DailyNepseIndexGraph
1756361280,2025-08-28 11:53:00,2818.34,2025-08-30 12:59:55.626965,2025-08-30,DailyNepseIndexGraph
1756361340,2025-08-28 11:54:00,2818.42,2025-08-30 12:59:55.626971,2025-08-30,DailyNepseIndexGraph
1756361400,2025-08-28 11:55:00,2819.19,2025-08-30 12:59:55.626977,2025-08-30,DailyNepseIndexGraph
1756361460,2025-08-28 11:56:00,2819.38,2025-08-30 12:59:55.626983,2025-08-30,DailyNepseIndexGraph
1756361520,2025-08-28 11:57:00,2821.86,2025-08-30 12:59:55.626988,2025-08-30,DailyNepseIndexGraph
1756361580,2025-08-28 11:58:00,2822.16,2025-08-30 12:59:55.626994,2025-08-30,DailyNepseIndexGraph
1756361640,2025-08-28 11:59:00,2822.45,2025-08-30 12:59:55.627000,2025-08-30,DailyNepseIndexGraph
1756361700,2025-08-28 12:00:00,2823.08,2025-08-30 12:59:55.627005,2025-08-30,DailyNepseIndexGraph
1756361760,2025-08-28 12:01:00,2823.38,2025-08-30 12:59:55.627011,2025-08-30,DailyNepseIndexGraph
1756361820,2025-08-28 12:02:00,2823.6,2025-08-30 12:59:55.627017,2025-08-30,DailyNepseIndexGraph
1756361880,2025-08-28 12:03:00,2823.34,2025-08-30 12:59:55.627022,2025-08-30,DailyNepseIndexGraph
1756361940,2025-08-28 12:04:00,2823.76,2025-08-30 12:59:55.627028,2025-08-30,DailyNepseIndexGraph
1756362000,2025-08-28 12:05:00,2823.87,2025-08-30 12:59:55.627034,2025-08-30,DailyNepseIndexGraph
1756362060,2025-08-28 12:06:00,2823.59,2025-08-30 12:59:55.627039,2025-08-30,DailyNepseIndexGraph
1756362120,2025-08-28 12:07:00,2823.11,2025-08-30 12:59:55.627045,2025-08-30,DailyNepseIndexGraph
1756362180,2025-08-28 12:08:00,2822.03,2025-08-30 12:59:55.627051,2025-08-30,DailyNepseIndexGraph
1756362240,2025-08-28 12:09:00,2820.73,2025-08-30 12:59:55.627056,2025-08-30,DailyNepseIndexGraph
1756362300,2025-08-28 12:10:00,2819.44,2025-08-30 12:59:55.627062,2025-08-30,DailyNepseIndexGraph
1756362360,2025-08-28 12:11:00,2818.24,2025-08-30 12:59:55.627068,2025-08-30,DailyNepseIndexGraph
1756362420,2025-08-28 12:12:00,2816.75,2025-08-30 12:59:55.627074,2025-08-30,DailyNepseIndexGraph
1756362480,2025-08-28 12:13:00,2816.73,2025-08-30 12:59:55.627079,2025-08-30,DailyNepseIndexGraph
1756362540,2025-08-28 12:14:00,2816.7,2025-08-30 12:59:55.627085,2025-08-30,DailyNepseIndexGraph
1756362600,2025-08-28 12:15:00,2816.74,2025-08-30 12:59:55.627091,2025-08-30,DailyNepseIndexGraph
1756362660,2025-08-28 12:16:00,2817.61,2025-08-30 12:59:55.627097,2025-08-30,DailyNepseIndexGraph
1756362720,2025-08-28 12:17:00,2817.34,2025-08-30 12:59:55.627103,2025-08-30,DailyNepseIndexGraph
1756362780,2025-08-28 12:18:00,2818.06,2025-08-30 12:59:55.627108,2025-08-30,DailyNepseIndexGraph
1756362840,2025-08-28 12:19:00,2817.91,2025-08-30 12:59:55.627114,2025-08-30,DailyNepseIndexGraph
1756362900,2025-08-28 12:20:00,2820.07,2025-08-30 12:59:55.627119,2025-08-30,DailyNepseIndexGraph
1756362960,2025-08-28 12:21:00,2820.07,2025-08-30 12:59:55.627125,2025-08-30,DailyNepseIndexGraph
1756363020,2025-08-28 12:22:00,2819.81,2025-08-30 12:59:55.627131,2025-08-30,DailyNepseIndexGraph
1756363080,2025-08-28 12:23:00,2819.33,2025-08-30 12:59:55.627136,2025-08-30,DailyNepseIndexGraph
1756363140,2025-08-28 12:24:00,2819.07,2025-08-30 12:59:55.627142,2025-08-30,DailyNepseIndexGraph
1756363200,2025-08-28 12:25:00,2817.77,2025-08-30 12:59:55.627148,2025-08-30,DailyNepseIndexGraph
1756363260,2025-08-28 12:26:00,2816.9,2025-08-30 12:59:55.627153,2025-08-30,DailyNepseIndexGraph
1756363320,2025-08-28 12:27:00,2816.12,2025-08-30 12:59:55.627159,2025-08-30,DailyNepseIndexGraph
1756363380,2025-08-28 12:28:00,2815.45,2025-08-30 12:59:55.627164,2025-08-30,DailyNepseIndexGraph
1756363440,2025-08-28 12:29:00,2814.75,2025-08-30 12:59:55.627170,2025-08-30,DailyNepseIndexGraph
1756363500,2025-08-28 12:30:00,2814.18,2025-08-30 12:59:55.627176,2025-08-30,DailyNepseIndexGraph
1756363560,2025-08-28 12:31:00,2812.9,2025-08-30 12:59:55.627181,2025-08-30,DailyNepseIndexGraph
1756363620,2025-08-28 12:32:00,2809.81,2025-08-30 12:59:55.627187,2025-08-30,DailyNepseIndexGraph
1756363680,2025-08-28 12:33:00,2807.85,2025-08-30 12:59:55.627192,2025-08-30,DailyNepseIndexGraph
1756363740,2025-08-28 12:34:00,2806.45,2025-08-30 12:59:55.627198,2025-08-30,DailyNepseIndexGraph
1756363800,2025-08-28 12:35:00,2805.68,2025-08-30 12:59:55.627204,2025-08-30,DailyNepseIndexGraph
1756363860,2025-08-28 12:36:00,2805.16,2025-08-30 12:59:55.627209,2025-08-30,DailyNepseIndexGraph
1756363920,2025-08-28 12:37:00,2804.77,2025-08-30 12:59:55.627215,2025-08-30,DailyNepseIndexGraph
1756363980,2025-08-28 12:38:00,2803.3,2025-08-30 12:59:55.627220,2025-08-30,DailyNepseIndexGraph
1756364040,2025-08-28 12:39:00,2801.98,2025-08-30 12:59:55.627226,2025-08-30,DailyNepseIndexGraph
1756364100,2025-08-28 12:40:00,2800.49,2025-08-30 12:59:55.627232,2025-08-30,DailyNepseIndexGraph
1756364160,2025-08-28 12:41:00,2800.87,2025-08-30 12:59:55.627237,2025-08-30,DailyNepseIndexGraph
1756364220,2025-08-28 12:42:00,2801.68,2025-08-30 12:59:55.627243,2025-08-30,DailyNepseIndexGraph
1756364280,2025-08-28 12:43:00,2802.41,2025-08-30 12:59:55.627249,2025-08-30,DailyNepseIndexGraph
1756364340,2025-08-28 12:44:00,2803.45,2025-08-30 12:59:55.627254,2025-08-30,DailyNepseIndexGraph
1756364400,2025-08-28 12:45:00,2803.74,2025-08-30 12:59:55.627260,2025-08-30,DailyNepseIndexGraph
1756364460,2025-08-28 12:46:00,2804.79,2025-08-30 12:59:55.627265,2025-08-30,DailyNepseIndexGraph
1756364520,2025-08-28 12:47:00,2805.5,2025-08-30 12:59:55.627271,2025-08-30,DailyNepseIndexGraph
1756364580,2025-08-28 12:48:00,2805.69,2025-08-30 12:59:55.627277,2025-08-30,DailyNepseIndexGraph
1756364640,2025-08-28 12:49:00,2805.45,2025-08-30 12:59:55.627282,2025-08-30,DailyNepseIndexGraph
1756364700,2025-08-28 12:50:00,2805.38,2025-08-30 12:59:55.627288,2025-08-30,DailyNepseIndexGraph
1756364760,2025-08-28 12:51:00,2805.56,2025-08-30 12:59:55.627293,2025-08-30,DailyNepseIndexGraph
1756364820,2025-08-28 12:52:00,2805.73,2025-08-30 12:59:55.627299,2025-08-30,DailyNepseIndexGraph
1756364880,2025-08-28 12:53:00,2805.54,2025-08-30 12:59:55.627305,2025-08-30,DailyNepseIndexGraph
1756364940,2025-08-28 12:54:00,2804.49,2025-08-30 12:59:55.627310,2025-08-30,DailyNepseIndexGraph
1756365000,2025-08-28 12:55:00,2803.71,2025-08-30 12:59:55.627316,2025-08-30,DailyNepseIndexGraph
1756365060,2025-08-28 12:56:00,2801.66,2025-08-30 12:59:55.627322,2025-08-30,DailyNepseIndexGraph
1756365120,2025-08-28 12:57:00,2801.82,2025-08-30 12:59:55.627327,2025-08-30,DailyNepseIndexGraph
1756365180,2025-08-28 12:58:00,2802.03,2025-08-30 12:59:55.627333,2025-08-30,DailyNepseIndexGraph
1756365240,2025-08-28 12:59:00,2801.9,2025-08-30 12:59:55.627338,2025-08-30,DailyNepseIndexGraph
1756365300,2025-08-28 13:00:00,2801.11,2025-08-30 12:59:55.627344,2025-08-30,DailyNepseIndexGraph
1756365360,2025-08-28 13:01:00,2800.66,2025-08-30 12:59:55.627349,2025-08-30,DailyNepseIndexGraph
1756365420,2025-08-28 13:02:00,2798.75,2025-08-30 12:59:55.627355,2025-08-30,DailyNepseIndexGraph
1756365480,2025-08-28 13:03:00,2798.71,2025-08-30 12:59:55.627361,2025-08-30,DailyNepseIndexGraph
1756365540,2025-08-28 13:04:00,2798.94,2025-08-30 12:59:55.627367,2025-08-30,DailyNepseIndexGraph
1756365600,2025-08-28 13:05:00,2799.62,2025-08-30 12:59:55.627372,2025-08-30,DailyNepseIndexGraph
1756365660,2025-08-28 13:06:00,2799.81,2025-08-30 12:59:55.627377,2025-08-30,DailyNepseIndexGraph
1756365720,2025-08-28 13:07:00,2801.54,2025-08-30 12:59:55.627383,2025-08-30,DailyNepseIndexGraph
